"","TREATMENT","FUNCTIONAL","DATE","response","SE","df","asymp.LCL","asymp.UCL"
"1","BURN","Frugivore","2021-05-18",26.5930843702154,8.14006807189418,Inf,14.595477958291,48.452824795619
"2","CONTROL","Frugivore","2021-05-18",43.7662767914272,13.1386807460553,Inf,24.3000985446171,78.8263051965331
"3","BURN","Other","2021-05-18",1.83028624979331,1.04418856827704,Inf,0.598279006488515,5.59930687831474
"4","CONTROL","Other","2021-05-18",9.2423060013356,3.43580641996575,Inf,4.46013586730099,19.1519323096351
"5","BURN","Unknown","2021-05-18",16.296178826131,5.23573924581463,Inf,8.68173198402141,30.5889936273096
"6","CONTROL","Unknown","2021-05-18",4.5240321963319,2.0249454683796,Inf,1.88161172400709,10.8773064348586
"7","BURN","Frugivore","2021-05-19",32.9908741301608,8.36870800724111,Inf,20.0665066295262,54.2395243958717
"8","CONTROL","Frugivore","2021-05-19",17.2672090492339,4.60780293300564,Inf,10.2347358683269,29.1318224706355
"9","BURN","Other","2021-05-19",4.77383769915326,1.6959294691386,Inf,2.37943633313943,9.57769958391292
"10","CONTROL","Other","2021-05-19",3.69059963119099,1.35993897207597,Inf,1.7924209179878,7.59895485544636
"11","BURN","Unknown","2021-05-19",25.2636337426629,6.54091389743682,Inf,15.2094803382765,41.9640366197904
"12","CONTROL","Unknown","2021-05-19",16.0533900324814,4.29832061491602,Inf,9.49852555835782,27.1317195444309
"13","BURN","Frugivore","2021-05-21",25.7769446331607,6.53746684909009,Inf,15.6802291848981,42.3750741641566
"14","CONTROL","Frugivore","2021-05-21",23.9877986003607,6.21920871776014,Inf,14.4312249341469,39.8728787277047
"15","BURN","Other","2021-05-21",10.3154803515034,2.95606489926982,Inf,5.88252959537338,18.0890096950713
"16","CONTROL","Other","2021-05-21",6.99943018241175,2.23281868322272,Inf,3.74566849637297,13.0796473115271
"17","BURN","Unknown","2021-05-21",19.2578436553721,5.04672827248175,Inf,11.5223481922358,32.1865418461022
"18","CONTROL","Unknown","2021-05-21",19.8954144142912,5.25547699460853,Inf,11.8550580129396,33.3889141904111
"19","BURN","Frugivore","2021-05-22",22.0367915802759,5.76702152970093,Inf,13.1943859662275,36.8050612128157
"20","CONTROL","Frugivore","2021-05-22",9.60276134573705,2.7848281797479,Inf,5.43932815035925,16.9530175260875
"21","BURN","Other","2021-05-22",1.73635572964673,0.874067504456882,Inf,0.64736720691106,4.65721956208271
"22","CONTROL","Other","2021-05-22",0.916634211633051,0.569158064920176,Inf,0.27143544619287,3.09546262185346
"23","BURN","Unknown","2021-05-22",12.1996411275724,3.47717009503534,Inf,6.97807465312372,21.3284109213323
"24","CONTROL","Unknown","2021-05-22",7.53191957197005,2.29098941980507,Inf,4.14949346781191,13.6715030108338
"25","BURN","Frugivore","2021-05-23",11.357416014738,3.19323890500848,Inf,6.54570789890355,19.7061800685353
"26","CONTROL","Frugivore","2021-05-23",20.4146494768214,5.41704490007305,Inf,12.1359802640369,34.3406881186582
"27","BURN","Other","2021-05-23",4.9564977125173,1.67599216647051,Inf,2.55475508146111,9.61613492912165
"28","CONTROL","Other","2021-05-23",1.0419213182338,0.648173391729725,Inf,0.307827369828668,3.52665207773531
"29","BURN","Unknown","2021-05-23",5.18752232088071,1.73040489563943,Inf,2.69788960665594,9.97460673084814
"30","CONTROL","Unknown","2021-05-23",15.0552420917421,4.17672137260036,Inf,8.74061472132168,25.9318505239743
"31","BURN","Frugivore","2021-05-24",13.285292368687,3.72966119362647,Inf,7.66316387740794,23.0321308724504
"32","CONTROL","Frugivore","2021-05-24",21.7036159636025,5.58282438584711,Inf,13.1092364143044,35.9324472462445
"33","BURN","Other","2021-05-24",2.7707235121136,1.16947111222081,Inf,1.21148146281518,6.33679426075568
"34","CONTROL","Other","2021-05-24",1.22500871919609,0.673217605104884,Inf,0.417207012713053,3.59688671661559
"35","BURN","Unknown","2021-05-24",13.2604061997293,3.70756252712276,Inf,7.66591317868956,22.937694242433
"36","CONTROL","Unknown","2021-05-24",9.52032249890874,2.77421187178287,Inf,5.37789642842087,16.8535303142388
"37","BURN","Frugivore","2021-05-25",15.8879941855782,4.32851998561883,Inf,9.31468128980096,27.1000532801225
"38","CONTROL","Frugivore","2021-05-25",27.6237009508168,6.9274853232055,Inf,16.897292490332,45.1592380647231
"39","BURN","Other","2021-05-25",3.11024417859215,1.26042980901108,Inf,1.40554301798875,6.88247796521285
"40","CONTROL","Other","2021-05-25",0.306202425934333,0.314071288234831,Inf,0.0410140546264021,2.28604380869269
"41","BURN","Unknown","2021-05-25",9.38157371553398,2.81019833155028,Inf,5.21558464334438,16.8751791790615
"42","CONTROL","Unknown","2021-05-25",10.6139624138899,3.02334588684708,Inf,6.07317923490901,18.5497897832345
"43","BURN","Frugivore","2021-05-26",19.2109214907052,5.00607665532082,Inf,11.5275735428084,32.0153676011269
"44","CONTROL","Frugivore","2021-05-26",13.0946938356783,3.72191948601762,Inf,7.50166008184392,22.8577414571421
"45","BURN","Other","2021-05-26",1.79964399136162,0.842800412065425,Inf,0.71871396840288,4.50626902777617
"46","CONTROL","Other","2021-05-26",2.69748131317983,1.14264455096158,Inf,1.17595895544035,6.18763554739006
"47","BURN","Unknown","2021-05-26",10.0468506052302,2.89607797449595,Inf,5.71037843398165,17.6764479361193
"48","CONTROL","Unknown","2021-05-26",6.40466656076566,2.07213524144636,Inf,3.39705705462338,12.0750853150265
"49","BURN","Frugivore","2021-05-28",11.1019439294232,3.20991643483011,Inf,6.29927044750641,19.5662593056068
"50","CONTROL","Frugivore","2021-05-28",20.981329572804,5.42333717676366,Inf,12.6418624046214,34.8220995097759
"51","BURN","Other","2021-05-28",2.51579707919401,1.11672211042631,Inf,1.05400057870486,6.00496344267511
"52","CONTROL","Other","2021-05-28",1.53185620549418,0.768859768979565,Inf,0.572780466984638,4.09682866223504
"53","BURN","Unknown","2021-05-28",9.99288515705558,2.94287844132296,Inf,5.61066419933973,17.7978489202496
"54","CONTROL","Unknown","2021-05-28",9.15625932051145,2.68076950144489,Inf,5.15826091488073,16.2529748161046
