"","Site","Treatment","Trap","Date","Time","Species","Age","Sex","Week","Functional"
"1",17,"B","B",2020-05-16,"13:30","American crow",NA,NA,2020-05-17,"Frugivore"
"2",8,"C","B",2020-04-22,"11:04","Blue grosbeak","Adult","Male",2020-04-19,"Other"
"3",8,"B","C",2020-05-13,"9:01","Blue grosbeak","Adult","Male",2020-05-10,"Other"
"4",8,"B","C",2020-05-30,"13:16","Blue grosbeak","Adult","Male",2020-05-31,"Other"
"5",16,"B","B",2020-05-25,"18:39","Blue grosbeak","Adult","Female",2020-05-24,"Other"
"6",4,"C","B",2020-05-10,"12:08","Blue jay","Adult",NA,2020-05-10,"Frugivore"
"7",6,"B","A",2020-05-09,"15:16","Blue jay","Adult","Unknown",2020-05-10,"Frugivore"
"8",7,"B","C",2020-05-30,"10:08","Blue jay","Adult","Unknown",2020-05-31,"Frugivore"
"9",8,"B","A",2020-05-20,"15:28","Blue jay","Adult","Unknown",2020-05-17,"Frugivore"
"10",8,"B","A",2020-05-20,"15:28","Blue jay","Juvenile","Unknown",2020-05-17,"Frugivore"
"11",4,"C","C",2020-05-17,"20:11","Brown-headed cowbird","Adult","Unknown",2020-05-17,"Other"
"12",4,"C","C",2020-05-17,"20:11","Brown-headed cowbird","Adult","Unknown",2020-05-17,"Other"
"13",7,"B","C",2020-05-25,"17:21","Brown-headed cowbird","Adult","Female",2020-05-24,"Other"
"14",7,"C","C",2020-05-21,"18:07","Brown-headed cowbird","Adult","Female",2020-05-24,"Other"
"15",7,"C","C",2020-05-22,"12:20","Brown-headed cowbird","Adult","Female",2020-05-24,"Other"
"16",7,"C","C",2020-05-20,"6:59","Carolina wren","Adult","Unknown",2020-05-17,"Other"
"17",7,"C","C",2020-05-20,"6:59","Carolina wren","Adult","Unknown",2020-05-17,"Other"
"18",6,"B","A",2020-05-02,"6:09","Chuck-will's-widow","Adult","Unknown",2020-05-03,"Other"
"19",6,"B","A",2020-05-25,"4:30","Chuck-will's-widow","Adult","Unknown",2020-05-24,"Other"
"20",4,"C","C",2020-05-02,"17:53","Common yellowthroat","Adult","Unknown",2020-05-03,"Other"
"21",6,"C","C",2020-04-27,"20:14","Common yellowthroat","Adult","Unknown",2020-04-26,"Other"
"22",6,"C","C",2020-05-01,"8:35","Common yellowthroat","Adult","Unknown",2020-05-03,"Other"
"23",4,"C","A",2020-05-19,"12:13","Common yellowthroat","Adult","Unknown",2020-05-17,"Other"
"24",4,"B","A",2020-04-21,"16:36","Eastern bluebird","Adult","Male",2020-04-19,"Frugivore"
"25",4,"B","A",2020-04-22,"8:35","Eastern bluebird","Adult","Unknown",2020-04-19,"Frugivore"
"26",4,"B","A",2020-04-22,"8:35","Eastern bluebird","Adult","Unknown",2020-04-19,"Frugivore"
"27",4,"B","C",2020-05-02,"11:08","Eastern bluebird","Adult","Male",2020-05-03,"Frugivore"
"28",4,"C","A",2020-05-10,"10:54","Eastern bluebird","Adult","Male",2020-05-10,"Frugivore"
"29",7,"B","A",2020-04-16,"17:41","Eastern bluebird","Adult","Male",2020-04-19,"Frugivore"
"30",7,"B","A",2020-04-22,"15:24","Eastern bluebird","Adult","Male",2020-04-19,"Frugivore"
"31",7,"B","A",2020-04-24,"9:04","Eastern bluebird","Adult","Male",2020-04-26,"Frugivore"
"32",7,"B","A",2020-04-24,"13:19","Eastern bluebird","Adult","Male",2020-04-26,"Frugivore"
"33",7,"B","A",2020-04-25,"11:53","Eastern bluebird","Adult","Male",2020-04-26,"Frugivore"
"34",7,"B","A",2020-04-25,"18:30","Eastern bluebird","Adult","Male",2020-04-26,"Frugivore"
"35",7,"B","A",2020-04-25,"18:47","Eastern bluebird","Adult","Male",2020-04-26,"Frugivore"
"36",7,"B","A",2020-04-26,"15:33","Eastern bluebird","Adult","Male",2020-04-26,"Frugivore"
"37",7,"B","B",2020-05-06,"9:34","Eastern bluebird","Adult","Male",2020-05-03,"Frugivore"
"38",7,"B","B",2020-05-06,"10:10","Eastern bluebird","Adult","Male",2020-05-03,"Frugivore"
"39",7,"B","B",2020-05-06,"18:41","Eastern bluebird","Adult","Female",2020-05-03,"Frugivore"
"40",8,"B","C",2020-05-07,"19:59","Eastern bluebird","Adult","Female",2020-05-10,"Frugivore"
"41",8,"B","C",2020-05-08,"15:31","Eastern bluebird","Adult","Female",2020-05-10,"Frugivore"
"42",16,"B","B",2020-05-11,"11:05","Eastern bluebird","Adult","Male",2020-05-10,"Frugivore"
"43",16,"B","B",2020-05-12,"15:32","Eastern bluebird","Adult","Male",2020-05-10,"Frugivore"
"44",1,"B","A",2020-05-28,"15:39","Eastern bluebird","Adult","Male",2020-05-31,"Frugivore"
"45",1,"C","C",2020-05-31,"10:36","Eastern bluebird","Adult","Male",2020-05-31,"Frugivore"
"46",4,"B","B",2020-05-31,"10:46","Eastern bluebird","Adult","Male",2020-05-31,"Frugivore"
"47",7,"B","A",2020-05-13,"13:41","Eastern bluebird","Adult","Male",2020-05-10,"Frugivore"
"48",7,"B","A",2020-05-17,"9:37","Eastern bluebird","Adult","Male",2020-05-17,"Frugivore"
"49",7,"B","A",2020-05-17,"18:57","Eastern bluebird","Adult","Male",2020-05-17,"Frugivore"
"50",7,"B","B",2020-05-12,"19:40","Eastern bluebird","Adult","Unknown",2020-05-10,"Frugivore"
"51",8,"B","A",2020-05-20,"17:22","Eastern bluebird","Adult","Male",2020-05-17,"Frugivore"
