"DATE","PAIR","GROUP","TREATMENT","FUNCTIONAL","COUNT"
2021-05-18,1,"BS","BURN","Frugivore",41
2021-05-18,1,"BS","BURN","Other",2
2021-05-18,1,"BS","BURN","Unknown",13
2021-05-18,1,"WR","CONTROL","Frugivore",36
2021-05-18,1,"WR","CONTROL","Other",6
2021-05-18,1,"WR","CONTROL","Unknown",1
2021-05-18,3,"ML","CONTROL","Frugivore",38
2021-05-18,3,"ML","CONTROL","Other",10
2021-05-18,3,"ML","CONTROL","Unknown",7
2021-05-18,3,"PT","BURN","Frugivore",18
2021-05-18,3,"PT","BURN","Other",2
2021-05-18,3,"PT","BURN","Unknown",22
2021-05-19,1,"BW","BURN","Frugivore",37
2021-05-19,1,"BW","BURN","Other",7
2021-05-19,1,"BW","BURN","Unknown",36
2021-05-19,1,"PT","CONTROL","Frugivore",35
2021-05-19,1,"PT","CONTROL","Other",1
2021-05-19,1,"PT","CONTROL","Unknown",23
2021-05-19,2,"BS","CONTROL","Frugivore",8
2021-05-19,2,"BS","CONTROL","Other",5
2021-05-19,2,"BS","CONTROL","Unknown",21
2021-05-19,2,"WR","BURN","Frugivore",28
2021-05-19,2,"WR","BURN","Other",3
2021-05-19,2,"WR","BURN","Unknown",18
2021-05-19,3,"CM","CONTROL","Frugivore",15
2021-05-19,3,"CM","CONTROL","Other",6
2021-05-19,3,"CM","CONTROL","Unknown",8
2021-05-19,3,"ML","BURN","Frugivore",26
2021-05-19,3,"ML","BURN","Other",4
2021-05-19,3,"ML","BURN","Unknown",19
2021-05-21,1,"BW","CONTROL","Frugivore",47
2021-05-21,1,"BW","CONTROL","Other",7
2021-05-21,1,"BW","CONTROL","Unknown",47
2021-05-21,1,"CM","BURN","Frugivore",38
2021-05-21,1,"CM","BURN","Other",19
2021-05-21,1,"CM","BURN","Unknown",24
2021-05-21,2,"PT","BURN","Frugivore",13
2021-05-21,2,"PT","BURN","Other",1
2021-05-21,2,"PT","BURN","Unknown",26
2021-05-21,2,"WR","CONTROL","Frugivore",12
2021-05-21,2,"WR","CONTROL","Other",0
2021-05-21,2,"WR","CONTROL","Unknown",4
2021-05-21,3,"BS","BURN","Frugivore",35
2021-05-21,3,"BS","BURN","Other",15
2021-05-21,3,"BS","BURN","Unknown",13
2021-05-21,3,"ML","CONTROL","Frugivore",15
2021-05-21,3,"ML","CONTROL","Other",14
2021-05-21,3,"ML","CONTROL","Unknown",14
2021-05-22,4,"BS","BURN","Frugivore",26
2021-05-22,4,"BS","BURN","Other",2
2021-05-22,4,"BS","BURN","Unknown",12
2021-05-22,4,"CM","CONTROL","Frugivore",8
2021-05-22,4,"CM","CONTROL","Other",1
2021-05-22,4,"CM","CONTROL","Unknown",14
2021-05-22,5,"BW","BURN","Frugivore",19
2021-05-22,5,"BW","BURN","Other",2
2021-05-22,5,"BW","BURN","Unknown",15
2021-05-22,5,"PT","CONTROL","Frugivore",8
2021-05-22,5,"PT","CONTROL","Other",0
2021-05-22,5,"PT","CONTROL","Unknown",6
2021-05-22,6,"ML","CONTROL","Frugivore",15
2021-05-22,6,"ML","CONTROL","Other",2
2021-05-22,6,"ML","CONTROL","Unknown",5
2021-05-22,6,"WR","BURN","Frugivore",17
2021-05-22,6,"WR","BURN","Other",1
2021-05-22,6,"WR","BURN","Unknown",8
2021-05-23,4,"PT","BURN","Frugivore",17
2021-05-23,4,"PT","BURN","Other",1
2021-05-23,4,"PT","BURN","Unknown",8
2021-05-23,4,"WR","CONTROL","Frugivore",20
2021-05-23,4,"WR","CONTROL","Other",1
2021-05-23,4,"WR","CONTROL","Unknown",16
2021-05-23,5,"BS","CONTROL","Frugivore",11
2021-05-23,5,"BS","CONTROL","Other",0
2021-05-23,5,"BS","CONTROL","Unknown",6
2021-05-23,5,"CM","BURN","Frugivore",12
2021-05-23,5,"CM","BURN","Other",5
