"","SITE","TREATMENT","TRAP","ASTER2","Baby.CROTON","CAAM2","CHFA2","CROTON","DESMO","EUP1","FAB","PASPA2","PHAM4","PIEC2","PINE_CONE","PINUS","PIPA2","POLY","PRSE2","RHUS","RUBUS","SANIC4","SCLERIA","SMILAX","Sp13","Sp17","Sp20","Sp22","Sp23","Sp26","Sp34","Sp38","SPIDER"
"1",1,"1-YEAR ROUGH","A",0,0,312.0817203,0,0,0,0,0,3.0169017,362.3634153,1.3408452,0,0,0.6704226,0,0,0.3352113,199.7859348,40.8957786,0,0.3352113,0,0,0,0,0,0,0,0.6704226,0
"2",1,"1-YEAR ROUGH","B",0,0,51.9577515,0,0,0,0,0,0,289.2873519,0,0,0,0.6704226,0.3352113,0,0.3352113,24.8056362,0.3352113,0,3.6873243,0.6704226,0,0,0,0,0,0,0,0
"3",1,"1-YEAR ROUGH","C",0,0,29.1633831,0,0,0,0,0,0,9.3859164,0,0,0,0,0,0,0,2.3464791,0.3352113,0,2.0112678,0,0,0,0,0.6704226,0,0,0,0
"4",4,"1-YEAR ROUGH","A",0,0,0,0,0,0,0,0,0,1.0056339,1.3408452,0,0,0.3352113,0,0,0,3.6873243,0,0,2.0112678,1.3408452,0,1.3408452,0,0,0,0,0,0
"5",4,"1-YEAR ROUGH","B",0,0,0,0,0.6704226,0,0,0,0,0,1.6760565,0,0,0.3352113,0,0,0,1.6760565,0,0,0,0.3352113,0,1.3408452,0,0,0,0,0,0
"6",4,"1-YEAR ROUGH","C",1.3408452,0,0,0,0,0,0,0,0,0,0.3352113,0,0,1.0056339,0,0,13.7436633,0.6704226,0,0,0,0,0,0,0,0,0,0,0,0
"7",6,"1-YEAR ROUGH","A",0,0,0,0,0,0,0,0.3352113,0,0,0.6704226,0,0,1.0056339,0,0,0,0,0,0,0,0,0,0,0,0,0.3352113,0,0,0
"8",6,"1-YEAR ROUGH","B",0,0,0,0,0,0.3352113,0,0,0,0,0.6704226,0.3352113,0,1.3408452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",6,"1-YEAR ROUGH","C",0,0,0,0,0,0,0,0,0,0,0.6704226,0,0,0.6704226,0,0,0,1.6760565,0,0,0,0,0,0,0,0,0,0,0,0
"10",7,"1-YEAR ROUGH","A",0,0,0,0,0,0,0,0,0.6704226,0,0,0,0,2.6816904,0,0,0,1.3408452,0,0,0,0.3352113,0,0,0,0,0,0,0,0
"11",7,"1-YEAR ROUGH","B",0,0.3352113,0,0,0,0,0,0,0,0,0.3352113,0,0,1.0056339,0,0,0,0.3352113,0,0,0.3352113,0,0,0,0,0,0,0,0,0
"12",7,"1-YEAR ROUGH","C",0,0,1.3408452,0,0,0,0,0,0,0.3352113,0.6704226,0,0,1.0056339,0.3352113,0,0,11.0619729,0,0,0,0,0,0,0,0,0,0,0,0
"13",8,"1-YEAR ROUGH","A",0,0,0,0,0,0,0,0,1.0056339,0,2.6816904,1.3408452,0,2.6816904,0,0,0,0,0,0,0,2.3464791,0,0,0.3352113,0,0,0,0,0
"14",8,"1-YEAR ROUGH","B",0,0,2.6816904,0,0,0,0,0,0,10.3915503,2.0112678,0,0,1.3408452,0.6704226,0,0,2.6816904,0,0,0,0,0,0,0,0,0,0,0,0
"15",8,"1-YEAR ROUGH","C",0,0,0,0,0,0,0,0,0,1.0056339,0,0,0,0.3352113,0,0,0,120.0056454,0,0.3352113,0.6704226,1.0056339,0,0,0,0,0,0,0,0
"16",16,"1-YEAR ROUGH","A",0,0,0,0,0,0,0,0,0,0,16.0901424,0.3352113,0,0,0,0,0,3.352113,0,0,0,0,0,0,0,0,0,0,0,0
"17",16,"1-YEAR ROUGH","B",0,0,0,0,0,0,0,0,0,0,0.6704226,0,0,0.3352113,0,0,0,2.0112678,0,0,0,0,0.6704226,0,0,0,0,0,0,0
