Site,Treatment,Trap,Date,Time,Species,Age,Sex
17,B,B,5/16/20,13:30,American crow,NA,NA
6,C,B,5/11/20,2:33,Bat,Unknown,Unknown
8,C,B,4/22/20,11:04,Blue grosbeak,Adult,Male
8,B,C,5/13/20,9:01,Blue grosbeak,Adult,Male
8,B,C,5/30/20,13:16,Blue grosbeak,Adult,Male
16,B,B,5/25/20,18:39,Blue grosbeak,Adult,Female
4,C,B,5/10/20,12:08,Blue jay,Adult,NA
6,B,A,5/9/20,15:16,Blue jay,Adult,Unknown
7,B,C,5/30/20,10:08,Blue jay,Adult,Unknown
8,B,A,5/20/20,15:28,Blue jay,Adult,Unknown
8,B,A,5/20/20,15:28,Blue jay,Juvenile,Unknown
4,C,C,5/17/20,20:11,Brown-headed cowbird,Adult,Unknown
4,C,C,5/17/20,20:11,Brown-headed cowbird,Adult,Unknown
7,B,C,5/25/20,17:21,Brown-headed cowbird,Adult,Female
7,C,C,5/21/20,18:07,Brown-headed cowbird,Adult,Female
7,C,C,5/22/20,12:20,Brown-headed cowbird,Adult,Female
7,C,C,5/20/20,6:59,Carolina wren,Adult,Unknown
7,C,C,5/20/20,6:59,Carolina wren,Adult,Unknown
6,B,A,5/2/20,6:09,Chuck-will's-widow,Adult,Unknown
6,B,A,5/25/20,4:30,Chuck-will's-widow,Adult,Unknown
4,C,C,5/2/20,17:53,Common yellowthroat,Adult,Unknown
6,C,C,4/27/20,20:14,Common yellowthroat,Adult,Unknown
6,C,C,5/1/20,8:35,Common yellowthroat,Adult,Unknown
4,C,A,5/19/20,12:13,Common yellowthroat,Adult,Unknown
4,B,A,4/21/20,16:36,Eastern bluebird,Adult,Male
4,B,A,4/22/20,8:35,Eastern bluebird,Adult,Unknown
4,B,A,4/22/20,8:35,Eastern bluebird,Adult,Unknown
4,B,C,5/2/20,11:08,Eastern bluebird,Adult,Male
4,C,A,5/10/20,10:54,Eastern bluebird,Adult,Male
7,B,A,4/16/20,17:41,Eastern bluebird,Adult,Male
7,B,A,4/22/20,15:24,Eastern bluebird,Adult,Male
7,B,A,4/24/20,9:04,Eastern bluebird,Adult,Male
7,B,A,4/24/20,13:19,Eastern bluebird,Adult,Male
7,B,A,4/25/20,11:53,Eastern bluebird,Adult,Male
7,B,A,4/25/20,18:30,Eastern bluebird,Adult,Male
7,B,A,4/25/20,18:47,Eastern bluebird,Adult,Male
7,B,A,4/26/20,15:33,Eastern bluebird,Adult,Male
7,B,B,5/6/20,9:34,Eastern bluebird,Adult,Male
7,B,B,5/6/20,10:10,Eastern bluebird,Adult,Male
7,B,B,5/6/20,18:41,Eastern bluebird,Adult,Female
8,B,C,5/7/20,19:59,Eastern bluebird,Adult,Female
8,B,C,5/8/20,15:31,Eastern bluebird,Adult,Female
16,B,B,5/11/20,11:05,Eastern bluebird,Adult,Male
16,B,B,5/12/20,15:32,Eastern bluebird,Adult,Male
1,B,A,5/28/20,15:39,Eastern bluebird,Adult,Male
1,C,C,5/31/20,10:36,Eastern bluebird,Adult,Male
4,B,B,5/31/20,10:46,Eastern bluebird,Adult,Male
7,B,A,5/13/20,13:41,Eastern bluebird,Adult,Male
7,B,A,5/17/20,9:37,Eastern bluebird,Adult,Male
7,B,A,5/17/20,18:57,Eastern bluebird,Adult,Male
7,B,B,5/12/20,19:40,Eastern bluebird,Adult,Unknown
8,B,A,5/20/20,17:22,Eastern bluebird,Adult,Male
8,B,A,5/20/20,17:22,Eastern bluebird,Adult,Female
8,B,A,5/20/20,17:22,Eastern bluebird,Juvenile,Unknown
8,B,A,5/20/20,17:22,Eastern bluebird,Juvenile,Unknown
8,B,A,5/26/20,13:14,Eastern bluebird,Adult,Male
8,B,A,5/27/20,13:14,Eastern bluebird,Juvenile,Unknown
8,B,A,5/27/20,16:37,Eastern bluebird,Juvenile,Unknown
8,B,A,5/29/20,6:29,Eastern bluebird,Juvenile,Unknown
8,B,A,5/29/20,8:07,Eastern bluebird,Juvenile,Unknown
8,B,A,5/29/20,12:02,Eastern bluebird,Juvenile,Unknown
8,B,A,5/29/20,17:46,Eastern bluebird,Juvenile,Unknown
8,B,A,5/29/20,19:29,Eastern bluebird,Juvenile,Unknown
8,B,A,5/30/20,8:35,Eastern bluebird,Juvenile,Unknown
8,B,A,5/30/20,8:41,Eastern bluebird,Juvenile,Unknown
8,B,A,5/30/20,13:09,Eastern bluebird,Juvenile,Unknown
8,B,A,5/30/20,16:11,Eastern bluebird,Juvenile,Unknown
8,B,A,5/30/20,17:33,Eastern bluebird,Juvenile,Unknown
16,B,A,5/21/20,13:19,Eastern bluebird,Juvenile,Unknown
16,B,A,5/21/20,14:35,Eastern bluebird,Juvenile,Unknown
16,B,A,5/22/20,11:39,Eastern bluebird,Juvenile,Unknown
16,B,B,5/19/20,8:06,Eastern bluebird,Adult,Male
16,B,B,5/26/20,12:57,Eastern bluebird,Adult,Male
16,C,A,5/15/20,14:22,Eastern bluebird,NA,NA
17,B,B,5/30/20,13:28,Eastern bluebird,Adult,Female
17,C,B,5/18/20,11:40,Eastern bluebird,Adult,Female
4,B,C,4/25/20,10:54,Eastern kingbird,Adult,Unknown
8,B,B,5/4/20,12:15,Eastern Kingbird,Adult,Unknown
8,C,C,5/5/20,16:39,Eastern kingbird,Adult,Unknown
8,C,C,5/6/20,14:41,Eastern kingbird,Adult,Unknown
8,C,C,5/6/20,16:29,Eastern kingbird,Adult,Unknown
8,C,C,5/7/20,12:31,Eastern kingbird,Adult,Unknown
8,C,C,5/8/20,12:00,Eastern kingbird,Adult,Unknown
8,C,C,5/8/20,16:14,Eastern kingbird,Adult,Unknown
8,C,C,5/9/20,11:49,Eastern kingbird,Adult,Unknown
8,C,C,5/9/20,12:15,Eastern kingbird,Adult,Unknown
8,C,C,5/9/20,16:21,Eastern kingbird,Adult,Unknown
