DATE,PAIR,TREATMENT,GROUP,OBSERVER 1,OBSERVER 2,SPECIES,SEX,COUNT
5/25/21,9,CONTROL,ML,Mason,Lashley,American Crow,U,1
5/19/21,1,BURN,BW,Balmaceda,Walford,American Robin,F,1
5/26/21,9,CONTROL,BW,NONE,Walford,American Robin,F,1
5/28/21,7,CONTROL,BW,Balmaceda,Walford,American Robin,F,1
5/19/21,1,BURN,BW,Balmaceda,Walford,American Robin,M,2
5/26/21,9,CONTROL,BW,NONE,Walford,American Robin,M,1
5/28/21,7,CONTROL,BW,Balmaceda,Walford,American Robin,M,1
5/18/21,1,BURN,BS,Bowden,Szlabowicz,American Robin,U,1
5/18/21,1,CONTROL,WR,Wilkin,Ribas,American Robin,U,2
5/19/21,1,CONTROL,PT,Tolar,Pinkley,American Robin,U,1
5/21/21,1,CONTROL,BW,Balmaceda,Walford,American Robin,U,4
5/22/21,5,BURN,BW,Balmaceda,Walford,American Robin,U,1
5/24/21,6,BURN,BW,Balmaceda,NONE,Barn Swallow,M,1
5/28/21,7,CONTROL,BW,Balmaceda,Walford,Barn Swallow,M,1
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Barn Swallow,U ,1
5/19/21,1,BURN,BW,Balmaceda,Walford,Black & White Warbler,U,1
5/26/21,9,CONTROL,BW,NONE,Walford,Black & White Warbler,U,1
5/19/21,3,BURN,ML,Mason,Lashley,Blue Grosbeak,M,4
5/21/21,3,CONTROL,ML,Mason,Lashley,Blue Grosbeak,M,1
5/26/21,9,CONTROL,CM,Marcelletti,Cantarero,Blue Grosbeak,M,4
5/28/21,9,CONTROL,ML,Lashley,NONE,Blue Grosbeak,M,2
5/18/21,1,BURN,BS,Bowden,Szlabowicz,Blue Grosbeak,U,1
5/21/21,1,CONTROL,BW,Balmaceda,Walford,Blue Grosbeak,U,1
5/21/21,3,BURN,BS,Bowden,Szlabowicz,Blue Grosbeak,U,3
5/24/21,5,BURN,BS,Bowden,NONE,Blue Grosbeak,U,1
5/22/21,1,CONTROL,CM,Cantarero,Marcelletti,Blue Grosbeak,U ,1
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Blue Jay,F,1
5/23/21,4,BURN,PT,Pinkley,Tolar,Blue Jay,M,3
5/24/21,6,BURN,BW,Balmaceda,NONE,Blue Jay,M,1
5/24/21,2,CONTROL,CM,Cantarero,Marcelletti,Blue Jay,M,
5/24/21,4,CONTROL,PT,Pinkley,NONE,Blue Jay,U,1
5/18/21,2,BURN,CM,Cantarero,Marcelletti,Blue Jay,U,2
5/18/21,3,CONTROL,ML,Mason,Lashley,Blue Jay,U,1
5/18/21,3,BURN,PT,Tolar,Pinkley,Blue Jay,U,2
5/19/21,1,BURN,BW,Balmaceda,Walford,Blue Jay,U,3
5/19/21,2,CONTROL,BS,Bowden,Szlabowicz,Blue Jay,U,1
5/19/21,3,BURN,ML,Mason,Lashley,Blue Jay,U,3
5/19/21,1,CONTROL,PT,Tolar,Pinkley,Blue Jay,U,2
5/19/21,2,BURN,WR,Wilkin,Ribas,Blue Jay,U,4
5/21/21,1,CONTROL,BW,Balmaceda,Walford,Blue Jay,U,1
5/21/21,3,BURN,BS,Bowden,Szlabowicz,Blue Jay,U,2
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Blue Jay,U,1
5/23/21,5,CONTROL,BS,Bowden,Szlabowicz,Blue Jay,U,1
5/24/21,5,BURN,BS,Bowden,NONE,Blue Jay,U,1
5/25/21,7,CONTROL,BS,Bowden,Szlabowicz,Blue Jay,U,7
5/25/21,9,CONTROL,ML,Mason,Lashley,Blue Jay,U,2
5/25/21,9,BURN,WR,Wilkin,Ribas,Blue Jay,U,3
5/26/21,7,BURN,ML,Mason,Lashley,Blue Jay,U,2
5/26/21,9,CONTROL,BW,NONE,Walford,Blue Jay,U,5
5/26/21,8,CONTROL,WR,Wilkin,Ribas,Blue Jay,U,1
5/28/21,8,BURN,CM,Marcelletti,Cantarero,Blue Jay,U,3
5/28/21,7,BURN,WR,Wilkin,Ribas,Blue Jay,U,1
5/18/21,3,CONTROL,CM,Cantarero,Marcelletti,Blue Jay,U ,2
5/24/21,4,BURN,WR,Wilkin,Ribas,Blue Jay,U ,1
5/25/21,8,BURN,PT,Tolar,Pinkley,Blue Jay,U ,3
5/28/21,9,BURN,PT,Tolar,Pinkley,Blue Jay,U ,2
5/28/21,7,BURN,WR,Wilkin,Ribas,Blue-Grey Gnatcatcher,M,3
5/19/21,1,BURN,BW,Balmaceda,Walford,Blue-Grey Gnatcatcher,U,3
