DATE,PAIR,TREATMENT,GROUP,OBSERVER 1,OBSERVER 2,SPECIES,FUNCTIONAL,SEX,COUNT
5/25/21,9,CONTROL,ML,Mason,Lashley,American Crow,Frugivore,U,1
5/18/21,1,BURN,BS,Bowden,Szlabowicz,American Robin,Frugivore,U,1
5/18/21,1,CONTROL,WR,Wilkin,Ribas,American Robin,Frugivore,U,2
5/19/21,1,BURN,BW,Balmaceda,Walford,American Robin,Frugivore,F,1
5/19/21,1,BURN,BW,Balmaceda,Walford,American Robin,Frugivore,M,2
5/19/21,1,CONTROL,PT,Tolar,Pinkley,American Robin,Frugivore,U,1
5/21/21,1,CONTROL,BW,Balmaceda,Walford,American Robin,Frugivore,U,4
5/22/21,5,BURN,BW,Balmaceda,Walford,American Robin,Frugivore,U,1
5/26/21,9,BURN,BW,NONE,Walford,American Robin,Frugivore,F,1
5/26/21,9,BURN,BW,NONE,Walford,American Robin,Frugivore,M,1
5/28/21,7,CONTROL,BW,Balmaceda,Walford,American Robin,Frugivore,F,1
5/28/21,7,CONTROL,BW,Balmaceda,Walford,American Robin,Frugivore,M,1
5/18/21,2,BURN,CM,Cantarero,Marcelletti,Blue Jay,Frugivore,U,2
5/18/21,3,BURN,PT,Tolar,Pinkley,Blue Jay,Frugivore,U,2
5/18/21,3,CONTROL,ML,Mason,Lashley,Blue Jay,Frugivore,U,1
5/19/21,1,BURN,BW,Balmaceda,Walford,Blue Jay,Frugivore,U,3
5/19/21,1,CONTROL,PT,Tolar,Pinkley,Blue Jay,Frugivore,U,2
5/19/21,2,BURN,WR,Wilkin,Ribas,Blue Jay,Frugivore,U,4
5/19/21,2,CONTROL,BS,Bowden,Szlabowicz,Blue Jay,Frugivore,U,1
5/19/21,3,BURN,ML,Mason,Lashley,Blue Jay,Frugivore,U,3
5/19/21,3,CONTROL,CM,Cantarero,Marcelletti,Blue Jay,Frugivore,U,2
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Blue Jay,Frugivore,F,1
5/21/21,1,BURN,CM,Cantarero,Marcelletti,Blue Jay,Frugivore,U,1
5/21/21,1,CONTROL,BW,Balmaceda,Walford,Blue Jay,Frugivore,U,1
5/21/21,3,BURN,BS,Bowden,Szlabowicz,Blue Jay,Frugivore,U,2
