DATE,SITE,TREATMENT,TRAP,SPECIES,SEEDS
4/6/20,8,C,A,SIAL,10
4/6/20,8,C,A,HEAN,10
4/6/20,8,C,A,CAAN,10
4/6/20,8,C,B,SIAL,10
4/6/20,8,C,B,HEAN,10
4/6/20,8,C,B,CAAN,10
4/6/20,8,C,C,SIAL,10
4/6/20,8,C,C,HEAN,10
4/6/20,8,C,C,CAAN,10
4/15/20,8,C,A,SIAL,6
4/15/20,8,C,A,HEAN,9
4/15/20,8,C,A,CAAN,8
4/15/20,8,C,B,SIAL,7
4/15/20,8,C,B,HEAN,6
4/15/20,8,C,B,CAAN,5
4/15/20,8,C,C,SIAL,7
4/15/20,8,C,C,HEAN,6
4/15/20,8,C,C,CAAN,4
4/6/20,8,B,A,SIAL,10
4/6/20,8,B,A,HEAN,10
4/6/20,8,B,A,CAAN,10
4/6/20,8,B,B,SIAL,10
4/6/20,8,B,B,HEAN,10
4/6/20,8,B,B,CAAN,10
4/6/20,8,B,C,SIAL,10
4/6/20,8,B,C,HEAN,10
4/6/20,8,B,C,CAAN,10
4/15/20,8,B,A,SIAL,0
4/15/20,8,B,A,HEAN,0
4/15/20,8,B,A,CAAN,0
4/15/20,8,B,B,SIAL,2
4/15/20,8,B,B,HEAN,0
4/15/20,8,B,B,CAAN,0
4/15/20,8,B,C,SIAL,5
4/15/20,8,B,C,HEAN,7
4/15/20,8,B,C,CAAN,5
4/6/20,4,C,A,SIAL,10
4/6/20,4,C,A,HEAN,10
4/6/20,4,C,A,CAAN,10
4/6/20,4,C,B,SIAL,10
4/6/20,4,C,B,HEAN,10
4/6/20,4,C,B,CAAN,10
4/6/20,4,C,C,SIAL,10
4/6/20,4,C,C,HEAN,10
4/6/20,4,C,C,CAAN,10
4/15/20,4,C,A,SIAL,6
4/15/20,4,C,A,HEAN,8
4/15/20,4,C,A,CAAN,7
4/15/20,4,C,B,SIAL,5
4/15/20,4,C,B,HEAN,9
4/15/20,4,C,B,CAAN,9
4/15/20,4,C,C,SIAL,7
4/15/20,4,C,C,HEAN,9
4/15/20,4,C,C,CAAN,3
4/6/20,4,B,A,SIAL,10
4/6/20,4,B,A,HEAN,10
4/6/20,4,B,A,CAAN,10
4/6/20,4,B,B,SIAL,10
4/6/20,4,B,B,HEAN,10
4/6/20,4,B,B,CAAN,10
4/6/20,4,B,C,SIAL,10
4/6/20,4,B,C,HEAN,10
